file,line,type,commit,author,date,time,timezone,datetime,depth,length
static/style.css,1,css,25af2628,esmitch,2025-03-05,14:18:56,-05:00,2025-03-05T14:18:56-05:00,0,5
static/style.css,2,css,25af2628,esmitch,2025-03-05,14:18:56,-05:00,2025-03-05T14:18:56-05:00,0,40
static/style.css,3,css,25af2628,esmitch,2025-03-05,14:18:56,-05:00,2025-03-05T14:18:56-05:00,0,24
static/style.css,4,css,25af2628,esmitch,2025-03-05,14:18:56,-05:00,2025-03-05T14:18:56-05:00,0,0
static/style.css,5,css,25af2628,esmitch,2025-03-05,14:18:56,-05:00,2025-03-05T14:18:56-05:00,0,0
static/style.css,6,css,25af2628,esmitch,2025-03-05,14:18:56,-05:00,2025-03-05T14:18:56-05:00,0,5
static/style.css,7,css,25af2628,esmitch,2025-03-05,14:18:56,-05:00,2025-03-05T14:18:56-05:00,0,40
static/style.css,8,css,25af2628,esmitch,2025-03-05,14:18:56,-05:00,2025-03-05T14:18:56-05:00,0,0
static/style.css,9,css,25af2628,esmitch,2025-03-05,14:18:56,-05:00,2025-03-05T14:18:56-05:00,0,0
static/style.css,10,css,25af2628,esmitch,2025-03-05,14:18:56,-05:00,2025-03-05T14:18:56-05:00,0,5
static/style.css,11,css,25af2628,esmitch,2025-03-05,14:18:56,-05:00,2025-03-05T14:18:56-05:00,0,44
static/style.css,12,css,25af2628,esmitch,2025-03-05,14:18:56,-05:00,2025-03-05T14:18:56-05:00,0,43
static/style.css,13,css,25af2628,esmitch,2025-03-05,14:18:56,-05:00,2025-03-05T14:18:56-05:00,0,1
static/style.css,14,css,25af2628,esmitch,2025-03-05,14:18:56,-05:00,2025-03-05T14:18:56-05:00,0,24
static/style.css,15,css,25af2628,esmitch,2025-03-05,14:18:56,-05:00,2025-03-05T14:18:56-05:00,0,15
static/style.css,16,css,25af2628,esmitch,2025-03-05,14:18:56,-05:00,2025-03-05T14:18:56-05:00,0,19
static/style.css,17,css,25af2628,esmitch,2025-03-05,14:18:56,-05:00,2025-03-05T14:18:56-05:00,0,11
static/style.css,18,css,25af2628,esmitch,2025-03-05,14:18:56,-05:00,2025-03-05T14:18:56-05:00,0,14
static/style.css,19,css,25af2628,esmitch,2025-03-05,14:18:56,-05:00,2025-03-05T14:18:56-05:00,0,0
static/style.css,20,css,25af2628,esmitch,2025-03-05,14:18:56,-05:00,2025-03-05T14:18:56-05:00,0,0
static/style.css,21,css,25af2628,esmitch,2025-03-05,14:18:56,-05:00,2025-03-05T14:18:56-05:00,0,0
static/style.css,22,css,25af2628,esmitch,2025-03-05,14:18:56,-05:00,2025-03-05T14:18:56-05:00,0,0
static/style.css,23,css,25af2628,esmitch,2025-03-05,14:18:56,-05:00,2025-03-05T14:18:56-05:00,0,8
static/style.css,24,css,25af2628,esmitch,2025-03-05,14:18:56,-05:00,2025-03-05T14:18:56-05:00,0,17
static/style.css,25,css,25af2628,esmitch,2025-03-05,14:18:56,-05:00,2025-03-05T14:18:56-05:00,0,26
